date,o,h,l,c,v,a
2019/10/1,8319.5,8539.5,8199,8297.5,933.178,8376.18
2019/10/2,8378.5,8386.5,8176,8319.5,521.027,8258.6
2019/10/3,8239.5,8419,8076.5,8378.5,596.203,8213.73
2019/10/4,8150,8241,8025,8239.5,531.444,8138.46
2019/10/5,8144,8197,8020,8150,427.717,8107.6
2019/10/6,7861,8170,7771,8144,709.788,7947.9
2019/10/7,8210.5,8308.5,7764.5,7861,765.277,8061.79
2019/10/8,8180.5,8334.5,8096,8210.5,606.441,8202.53
2019/10/9,8588.5,8689.5,8114.5,8180,909.512,8434.73
2019/10/10,8593.5,8661,8468,8588,579.353,8560.91
2019/10/11,8276.5,8809,8233,8593.5,810.577,8453.77
2019/10/12,8316,8409.5,8262,8276.5,392.613,8341.21
2019/10/13,8287.5,8471.5,8163.5,8316,542.172,8355.37
2019/10/14,8359.5,8412,8227,8287.5,499.311,8314.53
2019/10/15,8162.5,8424,8081.5,8360,546.486,8256.84
2019/10/16,8002.5,8184,7915,8162,529.622,8035.14
2019/10/17,8079.5,8132.5,7942,8001.5,411.619,8046.37
2019/10/18,7959.5,8122.5,7815,8079.5,547.284,7943.07
2019/10/19,7964,8103.5,7874.5,7959.5,449.6,7970.68
2019/10/20,8230,8317,7877.5,7964,659.003,8078.39
2019/10/21,8210.5,8356,8159.5,8230,459.076,8228.41
2019/10/22,8024,8313,7987.5,8210,538.085,8184.77
2019/10/23,7467.5,8051,7301,8024,985.52,7642.41
2019/10/24,7422,7508.5,7354,7467.5,464.845,7443.76
2019/10/25,8666.5,8790.5,7384.5,7422,1640.53,8219.34
2019/10/26,9266.5,10558,8644,8666.5,3760.94,9472.91
2019/10/27,9549.5,9835,9113,9267,1959.43,9522.92
2019/10/28,9232,9938,9194.5,9550,2314.04,9506.99
2019/10/29,9440,9560,9066,9232.5,1379.96,9381.11
2019/10/30,9166.5,9441.5,8989.5,9440.5,902.514,9188.24
2019/10/31,9160,9442.5,8960,9166.5,1026.55,9183.14
2019/11/1,9260,9316,9063,9159.5,734.359,9182.81
2019/11/2,9320,9410,9220,9260.5,462.932,9305.64
2019/11/3,9210.5,9397,9077,9320,427.17,9219.68
2019/11/4,9420.5,9612.5,9137.5,9210,631.866,9354.59
2019/11/5,9320.5,9485.5,9188,9421,589.241,9336.04
2019/11/6,9351,9461,9257.5,9320.5,426.739,9347.69
2019/11/7,9213,9382,9080,9351,448.961,9217.82
2019/11/8,8771.5,9257.5,8680,9213,978.056,8915.77
2019/11/9,8814.5,8884,8732,8771.5,419.885,8811.62
2019/11/10,9039.5,9140,8764,8814.5,659.773,8956.54
2019/11/11,8719.5,9076.5,8593,9040,668.519,8779.17
2019/11/12,8819,8866,8559,8719,660.665,8723.85
2019/11/13,8764,8849,8710,8819,304.068,8759.9
2019/11/14,8633.5,8793,8555.5,8764,386.95,8650.95
2019/11/15,8462.5,8787.5,8355,8633.5,749.438,8555.93
2019/11/16,8486,8538,8426,8462,238.618,8480.76
2019/11/17,8512,8638,8384.5,8486,548.513,8530.43
2019/11/18,8181,8510.5,8022,8510,974.125,8298
2019/11/19,8127.5,8202.5,7991,8180.5,660.277,8100.33
2019/11/20,8083.5,8229,8034,8128,507.664,8111.17
2019/11/21,7618.5,8122,7356.5,8083.5,1196.62,7731.8
2019/11/22,7276,7715.5,6735.5,7618,2864.69,7201.44
2019/11/23,7322,7348,7103.5,7276,893.382,7238.56
2019/11/24,6905,7347,6865,7322.5,1406.71,7094.97
2019/11/25,7123,7380,6519,6905.5,2421.06,6933.71
2019/11/26,7159.5,7341,7015,7123,1214.4,7151.46
2019/11/27,7528.5,7672.5,6845.5,7159.5,1811.1,7273.63
2019/11/28,7429.5,7665,7370,7528.5,981.051,7527.02
2019/11/29,7757,7872,7416,7429,1182.62,7639.73
2019/11/30,7556,7816.5,7458,7757,935.224,7631.04
2019/12/1,7400,7556.5,7234,7556,1124.98,7353.75
2019/12/2,7302.5,7423,7160.5,7400,833.604,7295.58
2019/12/3,7293.5,7419.5,7106.5,7301.5,514.9,7318.58
2019/12/4,7198.5,7795,7085.5,7293.5,1906.99,7346.04
2019/12/5,7389.5,7484,7148.5,7198.5,1147.49,7328.85
2019/12/6,7540.5,7648,7304.5,7390,1059.35,7438.39
2019/12/7,7504.5,7631,7481.5,7541,559.04,7537.47
2019/12/8,7518,7583,7389,7504,565.52,7493.99
2019/12/9,7336,7688.5,7277.5,7518,1187.99,7461.52
2019/12/10,7219.5,7382,7161.5,7336.5,923.234,7280.06
2019/12/11,7197.5,7266.5,7121,7220,553.266,7203.88
2019/12/12,7184,7296,7070.5,7197.5,830.269,7179.92
2019/12/13,7245,7295,7183.5,7184.5,425.489,7232.41
2019/12/14,7058,7267,7002,7245.5,631.094,7122.26
2019/12/15,7110,7210,7009,7058,596.908,7092.53
2019/12/16,6877.5,7138.5,6820,7109.5,873.037,6980.58
2019/12/17,6613.5,6937,6546,6877.5,932.364,6731.14
2019/12/18,7287.5,7480.5,6420,6613.5,1859.27,6855.32
2019/12/19,7147,7370.5,7042,7287.5,736.272,7158.31
2019/12/20,7187.5,7229,7073,7146.5,427.375,7149.66
2019/12/21,7140,7188,7096,7188,206.097,7144.17
2019/12/22,7505,7517,7121,7140,675.791,7320.71
2019/12/23,7310,7691.5,7261.5,7507.5,930.252,7505.33
2019/12/24,7254,7429,7155.5,7310.5,623.806,7288.57
2019/12/25,7195,7263.5,7116,7254,441.805,7203.79
2019/12/26,7196,7428,7146,7195,586.824,7261.77
2019/12/27,7243,7258,7058,7195.5,487.453,7183.61
2019/12/28,7300.5,7348,7233.5,7243,408.494,7298.3
2019/12/29,7383,7524.5,7279,7300,507.955,7380.28
2019/12/30,7218.5,7384.5,7198,7382.5,421.866,7290.11
2019/12/31,7169,7305.5,7116.5,7218,438.893,7204.59
2020/1/1,7180.5,7234,7154.5,7168.5,288.176,7195.08
2020/1/2,6946.5,7183.5,6910.5,7180.5,524.197,7051.53
2020/1/3,7338.5,7411.5,6854.5,6947,1061.92,7217.32
2020/1/4,7345.5,7398.5,7259.5,7338.5,453.259,7320.81
2020/1/5,7349.5,7488.5,7301.5,7345.5,633.734,7421.15
2020/1/6,7759.5,7813.5,7341.5,7350,863.133,7564.55
2020/1/7,8152.5,8212.5,7734.5,7759.5,1528.08,7955.1
2020/1/8,8047.5,8461.5,7871.5,8152.5,1744.5,8227.36
2020/1/9,7812.5,8049.5,7742.5,8048,1006.38,7891.35
2020/1/10,8200,8202,7676,7812.5,1297.63,7940.61
2020/1/11,8025,8290,8008,8199.5,812.927,8122.16
2020/1/12,8185,8190,7965.5,8025,587.66,8108.47
2020/1/13,8104.5,8196,8038.5,8184.5,444.399,8104.26
2020/1/14,8828.5,8894,8104,8104.5,2009.93,8600.63
2020/1/15,8814,8911,8576,8828.5,1266.65,8758.9
2020/1/16,8718.5,8854,8584,8814,804.97,8681.12
2020/1/17,8902,9021.5,8672.5,8718.5,1080.36,8876.67
2020/1/18,8917.5,8984.5,8810,8902.5,604.004,8900.36
2020/1/19,8701,9188,8452,8917.5,1236.51,8814.73
2020/1/20,8636.5,8741,8511.5,8701,621.272,8636.8
2020/1/21,8727,8772.5,8470,8636,570.297,8644.28
2020/1/22,8664.5,8799,8565,8727,385.041,8669.6
2020/1/23,8396.5,8673,8283,8665,778.812,8440.1
2020/1/24,8427,8517.5,8223,8397,702.116,8385.87
2020/1/25,8325.5,8431.5,8258,8427,455.827,8326.64
2020/1/26,8596,8599,8287,8325.5,574.405,8450.44
2020/1/27,8895.5,8992,8569,8596,871.191,8762.44
2020/1/28,9402,9424,8874,8895.5,1301.23,9076.94
2020/1/29,9289.5,9446,9226.5,9400.5,867.397,9337.2
2020/1/30,9508.5,9575,9104.5,9289.5,1072.34,9380.66
2020/1/31,9346,9528,9208,9509,753.905,9340.08
2020/2/1,9379.5,9465,9283,9346,528.334,9377.43
2020/2/2,9331.5,9476,9138,9380,816.319,9363.96
2020/2/3,9281.5,9631.5,9220,9331,859.398,9365.04
2020/2/4,9170.5,9346,9085,9281.5,669.632,9202.82
2020/2/5,9623.5,9777,9158.5,9170.5,1003.02,9487.25
2020/2/6,9751.5,9877,9530,9623.5,1067.88,9715.96
2020/2/7,9810.5,9889.5,9714,9751.5,732.168,9788.79
2020/2/8,9909.5,9959.5,9667,9810.5,715.579,9822.09
2020/2/9,10168.5,10182,9897,9910,787.896,10080.9
2020/2/10,9856.5,10196,9750,10169,1082.78,9931.57
2020/2/11,10281,10410,9716.5,9856,1189.01,10051.5
2020/2/12,10364,10500,10257.5,10281,1049.65,10360.1
2020/2/13,10245,10549.5,10085,10364,1380.3,10296.1
2020/2/14,10373.5,10401.5,10118.5,10245,814.701,10265.4
2020/2/15,9911,10411,9770,10373,872.818,10086.5
2020/2/16,9937,10054.5,9635.5,9911,854.286,9885.94
2020/2/17,9713,9974,9456.5,9937,975.637,9702.16
2020/2/18,10196,10300,9621.5,9713.5,992.902,9930.21
2020/2/19,9602,10321.5,9267.5,10196.5,1263.81,9969.38
2020/2/20,9615.5,9705.5,9392.5,9602,744.937,9577.57
2020/2/21,9703.5,9779.5,9560,9615.5,524.848,9693.68
2020/2/22,9676.5,9724.5,9577.5,9703.5,294.624,9666.26
2020/2/23,9970,10035.5,9676,9676.5,576.324,9899.52
2020/2/24,9662,10032.5,9485.5,9970.5,747.72,9738.1
2020/2/25,9318.5,9694.5,9238.5,9662.5,782.62,9476.28
2020/2/26,8784,9371,8591,9318.5,1218.88,8982.44
2020/2/27,8822,8970,8530.5,8784,777.507,8779.56
2020/2/28,8715,8903,8441,8822,868.617,8661.4
2020/2/29,8535,8807.5,8535,8713.5,436.889,8677.96
2020/3/1,8527.5,8761,8405,8535.5,656.004,8567.89
2020/3/2,8919,8970,8491,8527.5,591.905,8766
2020/3/3,8762,8925.5,8669,8919.5,729.708,8792.4
2020/3/4,8762.5,8852.5,8675,8762,453.569,8759.34
2020/3/5,9074.5,9173.5,8762,8762,701.395,9019.31
2020/3/6,9158.5,9185,9006,9074.5,495.341,9103.65
2020/3/7,8906.5,9224,8866,9159,534.465,9039.69
2020/3/8,8041.5,8906.5,8007.5,8906.5,978.866,8459.13
2020/3/9,7933.5,8185,7636,8041.5,1413.89,7860.01
2020/3/10,7888.5,8154,7732,7934,987.925,7949.78
2020/3/11,7940,7985.5,7590.5,7889,872.637,7816.43
2020/3/12,4585,7969.5,4418,7940,2940.21,6371.15
2020/3/13,5591,5898.5,3730,4585,2862.55,5132.43
2020/3/14,5168,5662.5,5046.5,5591,771.855,5387.94
2020/3/15,5344.5,5964.5,5086,5165,809.943,5410.22
2020/3/16,5038.5,5344.5,4398,5344.5,1312.41,4898.31
2020/3/17,5328.5,5565,4931,5038.5,943.526,5296.94
2020/3/18,5410,5441.5,5010,5328,821.525,5264.44
2020/3/19,6183,6440,5259,5410,1043.33,5910.44
2020/3/20,6206.5,6938,5652.5,6183,1527.8,6374.94
2020/3/21,6190.5,6447,5864,6206.5,884.838,6166.23
2020/3/22,5815,6420,5735,6191,860.624,6092.34
2020/3/23,6494.5,6644.5,5677,5815,989.387,6200.92
2020/3/24,6763,6869.5,6405.5,6494,898.554,6655.82
2020/3/25,6686.5,6981.5,6456.5,6763,803.884,6678.48
2020/3/26,6760,6795,6506,6686,583.628,6663.3
2020/3/27,6361.5,6876,6259.5,6760,713.39,6645.76
2020/3/28,6247.5,6362,6025,6361.5,752.658,6208.71
2020/3/29,5867.5,6273.5,5862.5,6247.5,582.891,6060.26
2020/3/30,6400,6634,5843,5867.5,873.774,6304.24
2020/3/31,6424,6530,6325,6400,584.583,6444.22
2020/4/1,6670.5,6718.5,6155,6424,785.253,6356.13
2020/4/2,6799,7273.5,6571.5,6670.5,1247.51,6821.01
2020/4/3,6738.5,7060,6610,6798.5,876.675,6830.88
